,Symbol,Name
274,ABFRL,Aditya Birla Fashion and Retail Limited
275,BATAINDIA,Bata India Limited
276,CARBORUNIV,Carborundum Universal Limited
277,GILLETTE,Gillette India Limited
278,ATUL,Atul Limited
279,PEL,Piramal Enterprises Limited
280,SONATSOFTW,Sonata Software Limited
281,KAJARIACER,Kajaria Ceramics Limited
282,BRIGADE,Brigade Enterprises Limited
283,ASTERDM,Aster DM Healthcare Limited
284,PNBHOUSING,PNB Housing Finance Limited
285,IDFC,IDFC Limited
286,SUMICHEM,Sumitomo Chemical India Limited
287,CROMPTON,Crompton Greaves Consumer Electricals Limited
288,BSOFT,BIRLASOFT LIMITED
289,CHOLAHLDNG,Cholamandalam Financial Holdings Limited
290,PFIZER,Pfizer Limited
291,BLUESTARCO,Blue Star Limited
292,NAVINFLUOR,Navin Fluorine International Limited
293,CDSL,Central Depository Services (India) Limited
294,SANOFI,Sanofi India Limited
295,TRIDENT,Trident Limited
296,MOTILALOFS,Motilal Oswal Financial Services Limited
297,SUVENPHAR,Suven Pharmaceuticals Limited
298,PPLPHARMA,Piramal Pharma Limited
299,AFFLE,Affle (India) Limited
300,VINATIORGA,Vinati Organics Limited
301,TTML,Tata Teleservices (Maharashtra) Limited
302,CIEINDIA,CIE Automotive India Limited
303,COCHINSHIP,Cochin Shipyard Limited
304,CASTROLIND,Castrol India Limited
305,RRKABEL,R R Kabel Limited
306,JYOTHYLAB,Jyothy Labs Limited
307,CESC,CESC Limited
308,BLUEDART,Blue Dart Express Limited
309,WHIRLPOOL,Whirlpool of India Limited
310,JBMA,JBM Auto Limited
311,GSPL,Gujarat State Petronet Limited
312,ELGIEQUIP,Elgi Equipments Limited
313,CENTURYPLY,Century Plyboards (India) Limited
314,RBLBANK,RBL Bank Limited
315,CELLO,Cello World Limited
316,KAYNES,Kaynes Technology India Limited
317,RHIM,RHI MAGNESITA INDIA LIMITED
318,CLEAN,Clean Science and Technology Limited
319,FINCABLES,Finolex Cables Limited
320,INDIAMART,Indiamart Intermesh Limited
321,INOXWIND,Inox Wind Limited
322,PVRINOX,PVR INOX Limited
323,IRCON,Ircon International Limited
324,DCMSHRIRAM,DCM Shriram Limited
325,SHYAMMETL,Shyam Metalics and Energy Limited
326,APTUS,Aptus Value Housing Finance India Limited
327,CGCL,Capri Global Capital Limited
328,KIMS,Krishna Institute of Medical Sciences Limited
329,TVSHLTD,TVS Holdings Limited
330,EIHOTEL,EIH Limited
331,CHAMBLFERT,Chambal Fertilizers & Chemicals Limited
332,CONCORDBIO,Concord Biotech Limited
333,FINEORG,Fine Organic Industries Limited
334,KEC,KEC International Limited
335,NSLNISP,NMDC Steel Limited
336,IEX,Indian Energy Exchange Limited
337,APLLTD,Alembic Pharmaceuticals Limited
338,TEJASNET,Tejas Networks Limited
339,NATCOPHARM,Natco Pharma Limited
340,TANLA,Tanla Platforms Limited
341,NBCC,NBCC (India) Limited
342,LAXMIMACH,Lakshmi Machine Works Limited
343,MANAPPURAM,Manappuram Finance Limited
344,WELCORP,Welspun Corp Limited
345,CHALET,Chalet Hotels Limited
346,POLYMED,Poly Medicure Limited
347,HONASA,Honasa Consumer Limited
348,TITAGARH,TITAGARH RAIL SYSTEMS LIMITED
349,WELSPUNLIV,Welspun Living Limited
350,ASAHIINDIA,Asahi India Glass Limited
351,GESHIP,The Great Eastern Shipping Company Limited
352,ARE&M,Amara Raja Energy & Mobility Limited
353,ZENSARTECH,Zensar Technologies Limited
354,REDINGTON,Redington Limited
355,ASTRAZEN,AstraZeneca Pharma India Limited
356,NUVOCO,Nuvoco Vistas Corporation Limited
357,BIKAJI,Bikaji Foods International Limited
358,CENTURYTEX,Century Textiles & Industries Limited
359,HAPPSTMNDS,Happiest Minds Technologies Limited
360,HSCL,Himadri Speciality Chemical Limited
361,KARURVYSYA,Karur Vysya Bank Limited
362,J&KBANK,The Jammu & Kashmir Bank Limited
363,ABSLAMC,Aditya Birla Sun Life AMC Limited
364,SWANENERGY,Swan Energy Limited
365,SFL,Sheela Foam Limited
366,TRITURBINE,Triveni Turbine Limited
367,BASF,BASF India Limited
368,JINDALSAW,Jindal Saw Limited
369,BLS,BLS International Services Limited
370,JWL,Jupiter Wagons Limited
371,RKFORGE,Ramkrishna Forgings Limited
372,FINPIPE,Finolex Industries Limited
373,CAMS,Computer Age Management Services Limited
374,ALKYLAMINE,Alkyl Amines Chemicals Limited
375,GMDCLTD,Gujarat Mineral Development Corporation Limited
376,GET&D,GE T&D India Limited
377,FSL,Firstsource Solutions Limited
378,WESTLIFE,WESTLIFE FOODWORLD LIMITED
379,ECLERX,eClerx Services Limited
380,VGUARD,V-Guard Industries Limited
381,NUVAMA,Nuvama Wealth Management Limited
382,MAHSEAMLES,Maharashtra Seamless Limited
383,ERIS,Eris Lifesciences Limited
384,AEGISCHEM,Aegis Logistics Limited
385,SIGNATURE,Signatureglobal (India) Limited
386,JAIBALAJI,Jai Balaji Industries Limited
387,AAVAS,Aavas Financiers Limited
388,RAINBOW,Rainbow Childrens Medicare Limited
389,HBLPOWER,HBL Power Systems Limited
390,RITES,RITES Limited
391,KSB,Ksb Limited
392,HFCL,HFCL Limited
393,SYRMA,Syrma SGS Technology Limited
394,EQUITASBNK,Equitas Small Finance Bank Limited
395,AKZOINDIA,Akzo Nobel India Limited
396,MGL,Mahanagar Gas Limited
397,BEML,BEML Limited
398,AETHER,Aether Industries Limited
399,GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited
400,KPIL,Kalpataru Projects International Limited
401,RAYMOND,Raymond Limited
402,INTELLECT,Intellect Design Arena Limited
403,CRAFTSMAN,Craftsman Automation Limited
404,BAJAJELEC,Bajaj Electricals Limited
405,ANURAS,Anupam Rasayan India Limited
406,VTL,Vardhman Textiles Limited
407,UJJIVANSFB,Ujjivan Small Finance Bank Limited
408,BIRLACORPN,Birla Corporation Limited
409,GRINFRA,G R Infraprojects Limited
410,OLECTRA,Olectra Greentech Limited
411,CUB,City Union Bank Limited
412,UTIAMC,UTI Asset Management Company Limited
413,BBTC,Bombay Burmah Trading Corporation Limited
414,GODFRYPHLP,Godfrey Phillips India Limited
415,NEWGEN,Newgen Software Technologies Limited
416,RAILTEL,Railtel Corporation Of India Limited
417,ANANDRATHI,Anand Rathi Wealth Limited
418,RAJESHEXPO,Rajesh Exports Limited
419,GRAPHITE,Graphite India Limited
420,GODREJAGRO,Godrej Agrovet Limited
421,ZYDUSWELL,Zydus Wellness Limited
422,GPIL,Godawari Power And Ispat limited
423,ALOKINDS,Alok Industries Limited
424,IBULHSGFIN,Indiabulls Housing Finance Limited
425,JKLAKSHMI,JK Lakshmi Cement Limited
426,AMBER,Amber Enterprises India Limited
427,RTNINDIA,RattanIndia Enterprises Limited
428,SPLPETRO,Supreme Petrochem Limited
429,MAPMYINDIA,C.E. Info Systems Limited
430,NCC,NCC Limited
431,DATAPATTNS,Data Patterns (India) Limited
432,ELECON,Elecon Engineering Company Limited
433,CHENNPETRO,Chennai Petroleum Corporation Limited
434,CANFINHOME,Can Fin Homes Limited
435,CAPLIPOINT,Caplin Point Laboratories Limited
436,TTKPRESTIG,TTK Prestige Limited
437,PRAJIND,Praj Industries Limited
438,CERA,Cera Sanitaryware Limited
439,SWSOLAR,Sterling and Wilson Renewable Energy Limited
440,RENUKA,Shree Renuka Sugars Limited
441,ROUTE,ROUTE MOBILE LIMITED
442,GRSE,Garden Reach Shipbuilders & Engineers Limited
443,EIDPARRY,EID Parry India Limited
444,ACE,Action Construction Equipment Limited
445,GALAXYSURF,Galaxy Surfactants Limited
446,INGERRAND,Ingersoll Rand (India) Limited
447,GRANULES,Granules India Limited
448,CEATLTD,CEAT Limited
449,JKTYRE,JK Tyre & Industries Limited
450,SCHNEIDER,Schneider Electric Infrastructure Limited
451,HAPPYFORGE,Happy Forgings Limited
452,ENGINERSIN,Engineers India Limited
453,GSFC,Gujarat State Fertilizers & Chemicals Limited
454,ANANTRAJ,Anant Raj Limited
455,JPPOWER,Jaiprakash Power Ventures Limited
456,SBFC,SBFC Finance Limited
457,KIRLOSENG,Kirloskar Oil Engines Limited
458,LEMONTREE,Lemon Tree Hotels Limited
459,PCBL,PCBL LIMITED
460,JMFINANCIL,JM Financial Limited
461,LATENTVIEW,Latent View Analytics Limited
462,SOBHA,Sobha Limited
463,SPARC,Sun Pharma Advanced Research Company Limited
464,SAFARI,Safari Industries (India) Limited
465,PRSMJOHNSN,Prism Johnson Limited
466,MINDACORP,Minda Corporation Limited
467,NETWORK18,Network18 Media & Investments Limited
468,ESABINDIA,Esab India Limited
469,SAPPHIRE,Sapphire Foods India Limited
470,USHAMART,Usha Martin Limited
471,PNCINFRA,PNC Infratech Limited
472,MMTC,MMTC Limited
473,MEDPLUS,Medplus Health Services Limited
474,SARDAEN,Sarda Energy & Minerals Limited
475,RPOWER,Reliance Power Limited
476,RCF,Rashtriya Chemicals and Fertilizers Limited
477,TVSSCS,TVS Supply Chain Solutions Limited
478,JUBLPHARMA,Jubilant Pharmova Limited
479,TV18BRDCST,TV18 Broadcast Limited
480,BALAMINES,Balaji Amines Limited
481,MASTEK,Mastek Limited
482,TECHNOE,Techno Electric & Engineering Company Limited
483,METROPOLIS,Metropolis Healthcare Limited
484,KRBL,KRBL Limited
485,DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited
486,RATEGAIN,Rategain Travel Technologies Limited
487,CCL,CCL Products (India) Limited
488,CAMPUS,Campus Activewear Limited
489,VIPIND,VIP Industries Limited
490,MAHSCOOTER,Maharashtra Scooters Limited
491,VARROC,Varroc Engineering Limited
492,SURYAROSNI,Surya Roshni Limited
493,MAHLIFE,Mahindra Lifespace Developers Limited
494,GAEL,Gujarat Ambuja Exports Limited
495,RELINFRA,Reliance Infrastructure Limited
496,BALRAMCHIN,Balrampur Chini Mills Limited
497,IONEXCHANG,ION Exchange (India) Limited
498,KFINTECH,Kfin Technologies Limited
499,HOMEFIRST,Home First Finance Company India Limited
500,PGHL,Procter & Gamble Health Limited
501,PRINCEPIPE,Prince Pipes And Fittings Limited
502,RESPONIND,Responsive Industries Limited
503,PTCIL,PTC Industries Limited
504,KTKBANK,The Karnataka Bank Limited
505,JUBLINGREA,Jubilant Ingrevia Limited
506,GLS,Glenmark Life Sciences Limited
507,MANINFRA,Man Infraconstruction Limited
508,SPANDANA,Spandana Sphoorty Financial Limited
509,INDIACEM,The India Cements Limited
510,ACI,Archean Chemical Industries Limited
511,INOXINDIA,INOX India Limited
512,LXCHEM,Laxmi Organic Industries Limited
513,TMB,Tamilnad Mercantile Bank Limited
514,CHEMPLASTS,Chemplast Sanmar Limited
515,ALLCARGO,Allcargo Logistics Limited
516,EMIL,Electronics Mart India Limited
517,SANDUMA,Sandur Manganese & Iron Ores Limited
518,MIDHANI,Mishra Dhatu Nigam Limited
519,QUESS,Quess Corp Limited
520,TEGA,Tega Industries Limited
521,MHRIL,Mahindra Holidays & Resorts India Limited
522,SHOPERSTOP,Shoppers Stop Limited
523,DOMS,DOMS Industries Limited
524,SCI,Shipping Corporation Of India Limited
525,GRAVITA,Gravita India Limited
526,TRIVENI,Triveni Engineering & Industries Limited
527,GPPL,Gujarat Pipavav Port Limited
528,HEG,HEG Limited
529,EDELWEISS,Edelweiss Financial Services Limited
530,DBREALTY,D B Realty Limited
531,MARKSANS,Marksans Pharma Limited
532,RUSTOMJEE,Keystone Realtors Limited
533,VESUVIUS,Vesuvius India Limited
534,STARCEMENT,Star Cement Limited
535,PDSL,PDS Limited
536,CSBBANK,CSB Bank Limited
537,IFCI,IFCI Limited
538,GMMPFAUDLR,GMM Pfaudler Limited
539,ISGEC,Isgec Heavy Engineering Limited
540,KNRCON,KNR Constructions Limited
541,EASEMYTRIP,Easy Trip Planners Limited
542,SAREGAMA,Saregama India Limited
543,JLHL,Jupiter Life Line Hospitals Limited
544,INDIGOPNTS,Indigo Paints Limited
545,LTFOODS,LT Foods Limited
546,KIRLOSBROS,Kirloskar Brothers Limited
547,RELIGARE,Religare Enterprises Limited
548,JAICORPLTD,Jai Corp Limited
549,VIJAYA,Vijaya Diagnostic Centre Limited
550,JKPAPER,JK Paper Limited
551,UJJIVAN,Ujjivan Financial Services Limited
552,ROLEXRINGS,Rolex Rings Limited
